"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"8","152302","spmv","127.0.0.1","csr_stream_kernel(int, int, const int *, const int *, const float *, const float *, float *, const char *)","1","7","(128, 1, 1)","(207985, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","Gbyte","1.11"
"8","152302","spmv","127.0.0.1","csr_stream_kernel(int, int, const int *, const int *, const float *, const float *, float *, const char *)","1","7","(128, 1, 1)","(207985, 1, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","Mbyte","758.06"
"8","152302","spmv","127.0.0.1","csr_stream_kernel(int, int, const int *, const int *, const float *, const float *, float *, const char *)","1","7","(128, 1, 1)","(207985, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sectors.avg","sector","493,530.46"
"8","152302","spmv","127.0.0.1","csr_stream_kernel(int, int, const int *, const int *, const float *, const float *, float *, const char *)","1","7","(128, 1, 1)","(207985, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sectors_hit_rate.pct","","n/a"
"8","152302","spmv","127.0.0.1","csr_stream_kernel(int, int, const int *, const int *, const float *, const float *, float *, const char *)","1","7","(128, 1, 1)","(207985, 1, 1)","0","8.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","56.59"
"8","152302","spmv","127.0.0.1","csr_stream_kernel(int, int, const int *, const int *, const float *, const float *, float *, const char *)","1","7","(128, 1, 1)","(207985, 1, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","94.93"
"9","152302","spmv","127.0.0.1","csr_vector_kernel(int, const int *, const int *, const float *, const float *, float *, const int *, int)","1","7","(128, 1, 1)","(746753, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","Mbyte","311.66"
"9","152302","spmv","127.0.0.1","csr_vector_kernel(int, const int *, const int *, const float *, const float *, float *, const int *, int)","1","7","(128, 1, 1)","(746753, 1, 1)","0","8.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","2.66"
"9","152302","spmv","127.0.0.1","csr_vector_kernel(int, const int *, const int *, const float *, const float *, float *, const int *, int)","1","7","(128, 1, 1)","(746753, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","Gbyte","1.32"
"9","152302","spmv","127.0.0.1","csr_vector_kernel(int, const int *, const int *, const float *, const float *, float *, const int *, int)","1","7","(128, 1, 1)","(746753, 1, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","Mbyte","986.87"
"9","152302","spmv","127.0.0.1","csr_vector_kernel(int, const int *, const int *, const float *, const float *, float *, const int *, int)","1","7","(128, 1, 1)","(746753, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sectors.avg","sector","642,495.38"
"9","152302","spmv","127.0.0.1","csr_vector_kernel(int, const int *, const int *, const float *, const float *, float *, const int *, int)","1","7","(128, 1, 1)","(746753, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sectors_hit_rate.pct","","n/a"
"9","152302","spmv","127.0.0.1","csr_vector_kernel(int, const int *, const int *, const float *, const float *, float *, const int *, int)","1","7","(128, 1, 1)","(746753, 1, 1)","0","8.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","8.83"
"9","152302","spmv","127.0.0.1","csr_vector_kernel(int, const int *, const int *, const float *, const float *, float *, const int *, int)","1","7","(128, 1, 1)","(746753, 1, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","90.08"
"10","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_partition_kernel<(int)256, cusparse::VectorScalarMultiplyPolicy, int, int, float, float, float>(const T4 *, T3, T4, int, T3 *, cusparse::KernelCoeff<T7>, T3, T6 *)","1","7","(256, 1, 1)","(2918, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","Mbyte","6.60"
"10","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_partition_kernel<(int)256, cusparse::VectorScalarMultiplyPolicy, int, int, float, float, float>(const T4 *, T3, T4, int, T3 *, cusparse::KernelCoeff<T7>, T3, T6 *)","1","7","(256, 1, 1)","(2918, 1, 1)","0","8.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.90"
"10","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_partition_kernel<(int)256, cusparse::VectorScalarMultiplyPolicy, int, int, float, float, float>(const T4 *, T3, T4, int, T3 *, cusparse::KernelCoeff<T7>, T3, T6 *)","1","7","(256, 1, 1)","(2918, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","Mbyte","15.19"
"10","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_partition_kernel<(int)256, cusparse::VectorScalarMultiplyPolicy, int, int, float, float, float>(const T4 *, T3, T4, int, T3 *, cusparse::KernelCoeff<T7>, T3, T6 *)","1","7","(256, 1, 1)","(2918, 1, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","Mbyte","23.36"
"10","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_partition_kernel<(int)256, cusparse::VectorScalarMultiplyPolicy, int, int, float, float, float>(const T4 *, T3, T4, int, T3 *, cusparse::KernelCoeff<T7>, T3, T6 *)","1","7","(256, 1, 1)","(2918, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sectors.avg","sector","15,207.04"
"10","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_partition_kernel<(int)256, cusparse::VectorScalarMultiplyPolicy, int, int, float, float, float>(const T4 *, T3, T4, int, T3 *, cusparse::KernelCoeff<T7>, T3, T6 *)","1","7","(256, 1, 1)","(2918, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sectors_hit_rate.pct","","n/a"
"10","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_partition_kernel<(int)256, cusparse::VectorScalarMultiplyPolicy, int, int, float, float, float>(const T4 *, T3, T4, int, T3 *, cusparse::KernelCoeff<T7>, T3, T6 *)","1","7","(256, 1, 1)","(2918, 1, 1)","0","8.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","16.69"
"10","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_partition_kernel<(int)256, cusparse::VectorScalarMultiplyPolicy, int, int, float, float, float>(const T4 *, T3, T4, int, T3 *, cusparse::KernelCoeff<T7>, T3, T6 *)","1","7","(256, 1, 1)","(2918, 1, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","65.15"
"11","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_kernel<(bool)0, int, int, float, float, float, float, void>(cusparse::KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(256, 1, 1)","(13000, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","Mbyte","260.02"
"11","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_kernel<(bool)0, int, int, float, float, float, float, void>(cusparse::KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(256, 1, 1)","(13000, 1, 1)","0","8.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","73.13"
"11","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_kernel<(bool)0, int, int, float, float, float, float, void>(cusparse::KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(256, 1, 1)","(13000, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","Mbyte","513.72"
"11","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_kernel<(bool)0, int, int, float, float, float, float, void>(cusparse::KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(256, 1, 1)","(13000, 1, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","Mbyte","628.61"
"11","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_kernel<(bool)0, int, int, float, float, float, float, void>(cusparse::KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(256, 1, 1)","(13000, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sectors.avg","sector","409,252.35"
"11","152302","spmv","127.0.0.1","void cusparse::csrmv_v3_kernel<(bool)0, int, int, float, float, float, float, void>(cusparse::KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(256, 1, 1)","(13000, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sectors_hit_rate.pct","","n/a"
